name,year,director,pic_sm,pic_lg,trailer,description
Rápido y furioso,2001,Rob Cohen,foto-chica-1.jpg,foto-grande-1.jpg,https://youtu.be/-oJHZre7XZY,"Brian O’Conner, quien es un agente de policía, va de encubierto tras una banda de corredores ilegales, liderada por Dominic Toretto, que al parecer, está involucrada en un robo de equipos electrónicos. El policía, quien presenta un gran interés por los autos y las carreras ilegales, termina haciéndose amigo de Dominic, y enamorándose de su hermana."
Más rápido más furioso,2003,John Singleton,foto-chica-2.jpg,foto-grande-2.jpg,https://youtu.be/8gf7FEmBDDA,"Luego de tener problemas con la justicia, el ex-policía O’Conner está siendo buscado por el FBI, para que él, y su amigo de la infancia, Roman Pearce, capturen al jefe de narcotráfico de Miami, Carter Verone, a cambio de su libertad."
Rápido y furioso: Reto Tokio,2003,Justin Lin,foto-chica-3.jpg,foto-grande-3.jpg,https://youtu.be/TcEK1MV79xg,"Sean Boswell, quien es un nuevo personaje en la saga, tras meterse en problemas, se ve obligado a vivir con su padre, un oficial de la marina, quien vive en Tokio, Japón. En este viaje, Sean conoce nuevos amigos y conoce la cultura japonesa, a medida que participa en carreras ilegales, haciéndose, además, un par de enemigos."
Rápidos y furiosos,2009,Justin Lin,foto-chica-4.jpg,foto-grande-4.jpg,https://youtu.be/mUXekPixdNo,"Dominic Toretto y Brian O’Conner vuelven a Los Ángeles, luego de que ocurre un nuevo crimen. Luego de perder la confianza, estos deben aprender a confiar uno en el otro, con el fin de enfrentar y vencer a un enemigo mutuo."
Rápidos y furiosos: 5in control,2011,Justin Lin,foto-chica-5.jpg,foto-grande-5.jpg,https://youtu.be/JSbFN5Qwz2I,"Brian O’Conner y Dominic Toretto colaboran a pesar de proceder de lados opuestos de la ley. Brian O’Conner y Mia Toretto, tras sacar a Dominic de la cárcel, se ven constantemente comprometidos con la policía, cruzando muchas fronteras para poder evitarla."
Rápidos y furiosos 6,2013,Justin Lin,foto-chica-6.jpg,foto-grande-6.jpg,https://youtu.be/h21C_UlOryw,"Cada miembro de la banda está dispersado por todo el mundo, luego de que el pasado robo en Rio de Dominic y el derrocamiento del imperio de un mafioso, les dejó 100 millones de dólares. Sin embargo, el hecho de tener que vivir siempre en la fuga y no poder volver a casa, ha dejado sus vidas incompletas."
Rápidos y furiosos 7,2015,James Wan,foto-chica-7.jpg,foto-grande-7.jpg,https://youtu.be/JsPb7usd4cU,"Dominic Toretto y sus amigos creían haber dejado la vida callejera atrás, luego de haber derrotado al terrorista Owen Shaw. Sin embargo, Deckard Shaw, el hermano de Owen, aparece de pronto para cobrar venganza, con la intención de eliminar uno por uno al clan que asesinó a su hermano."
Rápidos y furiosos 8,2017,F. Gary Gray,foto-chica-8.jpg,foto-grande-8.jpg,https://youtu.be/3KuazYQ1JuE,"Parece que todo está tranquilo, con Dominic y Letty de luna de miel, Brian y Mia retirados, y el resto de la pandilla viviendo en paz. Sin embargo, una misteriosa mujer seducirá a Dominic para adentrarlo en el mundo del crimen y traicionar a la pandilla. Ahora tendrán que unirse para traer a casa al hombre que los convirtió en una familia y detener a Cipher de desatar el caos."
Rápidos y furiosos 9,2021,Justin Lin,foto-chica-9.jpg,foto-grande-9.jpg,https://youtu.be/t3DpuQrBivU,"Dominic Toretto vive una vida tranquila junto a Letty y su hijo, pero el peligro siempre regresa a su vida. En esta ocasión, el equipo se enfrenta a un complot mundial orquestado por el asesino más temible del mundo: el hermano de Dominic."


